epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3275,1.69735,6.42619,2.81591,0.00286,0.77184,0.18995,0.06874,3.60853,13.1978,4.41529,0.000650407,0.000650407,0.000650407
2,53.4283,1.52669,4.49352,2.64571,0.52882,0.01652,0.19154,0.07018,3.41923,12.0864,4.84737,0.00130403,0.00130403,0.00130403
3,68.1253,1.61803,3.83752,2.68131,0.11558,0.09223,0.0469,0.01563,4.33383,8.94266,5.06272,0.00194446,0.00194446,0.00194446
4,82.3389,1.63193,3.06544,2.70576,0.24505,0.15049,0.09459,0.02097,5.23019,11.4062,5.65507,0.0019406,0.0019406,0.0019406
5,96.8518,1.45747,2.43541,2.53496,0.29832,0.33495,0.21685,0.06829,4.11733,8.12995,5.00999,0.0019208,0.0019208,0.0019208
6,111.405,1.45924,2.08548,2.54345,0.27407,0.25842,0.14553,0.04191,3.971,7.99769,4.41168,0.001901,0.001901,0.001901
7,126.851,1.50965,1.93448,2.58204,0.26334,0.41996,0.20026,0.03592,5.66825,7.77744,6.29481,0.0018812,0.0018812,0.0018812
8,141.28,1.46142,1.76878,2.55397,0.56875,0.53883,0.52227,0.3125,2.29328,4.58141,3.35375,0.0018614,0.0018614,0.0018614
9,155.707,1.37302,1.59046,2.50049,0.192,0.30583,0.10264,0.03015,4.41942,8.45674,4.95756,0.0018416,0.0018416,0.0018416
10,170.057,1.38383,1.49197,2.52232,0.80172,0.60848,0.72434,0.54179,2.11035,2.10133,3.10891,0.0018218,0.0018218,0.0018218
11,184.643,1.35164,1.38645,2.46991,0.54059,0.53398,0.52559,0.19145,3.47411,3.67021,3.79626,0.001802,0.001802,0.001802
12,198.906,1.30894,1.32291,2.42583,0.92829,0.70874,0.80596,0.43688,2.92533,2.23064,3.65551,0.0017822,0.0017822,0.0017822
13,213.717,1.33044,1.3149,2.45153,0.90078,0.70514,0.82917,0.33829,3.35634,2.36403,3.77044,0.0017624,0.0017624,0.0017624
14,228.648,1.27784,1.23838,2.41422,0.9104,0.74757,0.83889,0.58741,2.11593,1.686,2.9101,0.0017426,0.0017426,0.0017426
15,243.118,1.31777,1.25076,2.43944,0.88207,0.7625,0.85015,0.47691,2.69247,1.93562,3.43404,0.0017228,0.0017228,0.0017228
16,257.266,1.27497,1.15603,2.41475,0.82216,0.7233,0.80757,0.52555,2.38119,1.93517,3.26256,0.001703,0.001703,0.001703
17,271.645,1.27351,1.16339,2.41329,0.69315,0.54829,0.64687,0.31461,2.68406,3.71524,3.16819,0.0016832,0.0016832,0.0016832
18,285.983,1.20757,1.11482,2.37927,0.88131,0.68485,0.8156,0.51872,2.21642,1.9728,2.82947,0.0016634,0.0016634,0.0016634
19,300.254,1.24378,1.17031,2.40229,0.8022,0.67476,0.7749,0.50095,2.22331,1.86697,2.83721,0.0016436,0.0016436,0.0016436
20,314.528,1.21805,1.09994,2.40566,0.60136,0.65049,0.61516,0.28456,2.66667,2.88781,3.27414,0.0016238,0.0016238,0.0016238
21,328.954,1.24654,1.1448,2.39334,0.85941,0.75243,0.83171,0.65782,1.84805,1.4365,2.66947,0.001604,0.001604,0.001604
22,344.085,1.22959,1.05531,2.39081,0.86103,0.782,0.8663,0.65093,1.99665,1.59483,2.78284,0.0015842,0.0015842,0.0015842
23,358.408,1.22855,1.05135,2.35118,0.90274,0.77184,0.86962,0.65493,2.00333,1.3691,2.84745,0.0015644,0.0015644,0.0015644
24,372.795,1.22546,1.06747,2.37332,0.86288,0.69417,0.82648,0.56123,2.02117,2.23424,2.78328,0.0015446,0.0015446,0.0015446
25,387.431,1.16789,1.01386,2.32771,0.87025,0.81401,0.87718,0.61821,1.99113,1.38399,2.77596,0.0015248,0.0015248,0.0015248
26,401.571,1.17178,0.9572,2.33338,0.92024,0.77184,0.85242,0.60172,2.01942,1.49573,2.65882,0.001505,0.001505,0.001505
27,415.773,1.12227,0.92795,2.31831,0.87078,0.79126,0.86724,0.52375,2.67014,1.90067,3.21967,0.0014852,0.0014852,0.0014852
28,429.999,1.17108,0.97316,2.31581,0.89089,0.75311,0.86244,0.65018,1.84035,1.31504,2.5822,0.0014654,0.0014654,0.0014654
29,444.544,1.13102,0.94412,2.35334,0.70976,0.68853,0.70488,0.25914,3.41818,3.59899,3.95262,0.0014456,0.0014456,0.0014456
30,459.703,1.12075,0.9442,2.29519,0.93617,0.78318,0.87651,0.64466,2.05395,1.43312,2.89071,0.0014258,0.0014258,0.0014258
31,474.464,1.16851,1.00199,2.34116,0.92427,0.77018,0.86583,0.45817,2.837,1.76989,3.2776,0.001406,0.001406,0.001406
32,489.159,1.13621,0.93901,2.30938,0.90077,0.75728,0.8649,0.64173,2.02299,1.40609,2.81014,0.0013862,0.0013862,0.0013862
33,503.781,1.0937,0.91477,2.29672,0.86643,0.78722,0.87835,0.65737,1.98987,1.40294,2.78316,0.0013664,0.0013664,0.0013664
34,518.118,1.1304,0.93114,2.33701,0.85934,0.77107,0.84574,0.49962,2.52766,1.84488,2.92034,0.0013466,0.0013466,0.0013466
35,532.526,1.11287,0.89846,2.31429,0.88938,0.81961,0.89129,0.68598,1.86873,1.21316,2.67489,0.0013268,0.0013268,0.0013268
36,547.123,1.09391,0.86487,2.30381,0.96473,0.73301,0.87418,0.62543,2.24697,1.65366,2.91383,0.001307,0.001307,0.001307
37,561.767,1.11296,0.9161,2.31161,0.91772,0.81211,0.89689,0.69419,1.83968,1.12462,2.63637,0.0012872,0.0012872,0.0012872
38,576.951,1.13641,0.89107,2.32619,0.92562,0.8301,0.90845,0.69179,1.8983,1.12627,2.73196,0.0012674,0.0012674,0.0012674
39,591.348,1.10913,0.83957,2.29138,0.95946,0.80412,0.89997,0.68772,1.88218,1.19085,2.66527,0.0012476,0.0012476,0.0012476
40,605.651,1.1272,0.87687,2.34362,0.93214,0.80017,0.89383,0.69726,1.79539,1.21311,2.55314,0.0012278,0.0012278,0.0012278
41,620.198,1.06063,0.80866,2.27659,0.89399,0.77785,0.89322,0.64221,2.02587,1.32343,2.64249,0.001208,0.001208,0.001208
42,634.862,1.1304,0.91106,2.29981,0.89272,0.80789,0.88327,0.58264,2.21835,1.41965,2.77175,0.0011882,0.0011882,0.0011882
43,649.232,1.07848,0.83551,2.2777,0.87305,0.83459,0.89243,0.62494,2.04745,1.26668,2.7504,0.0011684,0.0011684,0.0011684
44,663.703,1.02412,0.78414,2.24127,0.92677,0.79866,0.88957,0.65899,1.94206,1.26944,2.65003,0.0011486,0.0011486,0.0011486
45,678.386,1.1254,0.83865,2.30939,0.91151,0.85002,0.9077,0.65527,1.96548,1.24688,2.62707,0.0011288,0.0011288,0.0011288
46,693.505,1.0675,0.81721,2.28457,0.89879,0.82524,0.88977,0.68602,1.90594,1.22561,2.64791,0.001109,0.001109,0.001109
47,707.969,1.06416,0.77287,2.28396,0.91107,0.81068,0.90152,0.67287,1.94956,1.14122,2.66286,0.0010892,0.0010892,0.0010892
48,722.35,1.03104,0.82301,2.25856,0.92727,0.82524,0.8952,0.68502,1.83366,1.32191,2.52581,0.0010694,0.0010694,0.0010694
49,736.679,1.02115,0.80558,2.25163,0.91658,0.85341,0.90894,0.67106,1.9102,1.17198,2.61637,0.0010496,0.0010496,0.0010496
50,751.046,1.05792,0.7805,2.25037,0.93079,0.82524,0.91281,0.67884,1.94283,1.16399,2.70876,0.0010298,0.0010298,0.0010298
51,765.736,1.01767,0.76605,2.24589,0.94813,0.79859,0.9116,0.68454,1.90096,1.18358,2.61391,0.00101,0.00101,0.00101
52,779.909,1.07232,0.8422,2.26691,0.95488,0.82191,0.91192,0.66124,2.0108,1.27652,2.66034,0.0009902,0.0009902,0.0009902
53,794.257,1.10947,0.80708,2.29565,0.96858,0.81068,0.90834,0.63279,2.10692,1.17064,2.76321,0.0009704,0.0009704,0.0009704
54,809.298,1.02199,0.7282,2.23626,0.97431,0.73648,0.89427,0.65315,1.95751,1.24853,2.6908,0.0009506,0.0009506,0.0009506
55,824.009,1.06062,0.74223,2.27538,0.95018,0.83334,0.92396,0.69897,1.90126,1.02321,2.70523,0.0009308,0.0009308,0.0009308
56,838.566,1.02695,0.7681,2.24062,0.92045,0.84255,0.90586,0.63053,2.02147,1.28906,2.68816,0.000911,0.000911,0.000911
57,852.977,1.03127,0.76728,2.2409,0.88337,0.82039,0.8947,0.51361,2.61547,1.44278,3.02346,0.0008912,0.0008912,0.0008912
58,867.305,1.0059,0.74825,2.22928,0.88565,0.78952,0.89359,0.63878,1.9958,1.31571,2.60103,0.0008714,0.0008714,0.0008714
59,881.74,1.07985,0.80913,2.27742,0.89578,0.85922,0.90372,0.66624,1.99117,1.16918,2.61751,0.0008516,0.0008516,0.0008516
60,895.891,0.98881,0.69343,2.22929,0.939,0.83495,0.90933,0.70628,1.75515,1.07725,2.50913,0.0008318,0.0008318,0.0008318
61,910.54,1.01196,0.74389,2.27012,0.95041,0.83725,0.91917,0.67986,1.8853,1.07259,2.52345,0.000812,0.000812,0.000812
62,925.351,1.03788,0.73993,2.22529,0.87223,0.82524,0.89091,0.67059,1.86004,1.32376,2.59347,0.0007922,0.0007922,0.0007922
63,939.724,0.94188,0.68679,2.22188,0.92478,0.84951,0.91439,0.70784,1.76283,1.11326,2.50302,0.0007724,0.0007724,0.0007724
64,954.012,1.08188,0.77051,2.29925,0.9664,0.83783,0.92234,0.71464,1.73409,1.0572,2.51745,0.0007526,0.0007526,0.0007526
65,968.304,1.00873,0.72878,2.23099,0.93509,0.83924,0.91045,0.71704,1.79018,1.04827,2.53994,0.0007328,0.0007328,0.0007328
66,982.514,0.96987,0.69158,2.23055,0.94891,0.81553,0.91824,0.7131,1.78984,1.02146,2.49315,0.000713,0.000713,0.000713
67,996.853,0.97702,0.7088,2.21367,0.95061,0.85437,0.91301,0.7299,1.73482,1.05478,2.51958,0.0006932,0.0006932,0.0006932
68,1011.11,0.93685,0.66703,2.18758,0.97665,0.81226,0.91771,0.70202,1.82942,1.10493,2.5286,0.0006734,0.0006734,0.0006734
69,1025.72,0.99502,0.696,2.22562,0.89031,0.85922,0.91523,0.71202,1.78277,1.10501,2.48329,0.0006536,0.0006536,0.0006536
70,1040.66,0.96168,0.67025,2.21214,0.93741,0.82039,0.91274,0.71784,1.75799,1.04037,2.53268,0.0006338,0.0006338,0.0006338
71,1055.09,0.95681,0.68482,2.1984,0.88567,0.85437,0.91445,0.66868,1.93012,1.17162,2.64721,0.000614,0.000614,0.000614
72,1069.47,0.97351,0.66496,2.22749,0.97603,0.79052,0.91454,0.70299,1.77706,1.07771,2.51806,0.0005942,0.0005942,0.0005942
73,1083.84,1.01642,0.72072,2.22759,0.94474,0.83495,0.92308,0.6866,1.8875,1.10806,2.59284,0.0005744,0.0005744,0.0005744
74,1098.27,0.95283,0.66639,2.20445,0.94438,0.86408,0.92852,0.64996,2.08277,1.10476,2.6737,0.0005546,0.0005546,0.0005546
75,1112.72,0.9135,0.64953,2.17528,0.90222,0.85103,0.92069,0.6613,2.02884,1.12831,2.69338,0.0005348,0.0005348,0.0005348
76,1127.27,0.95623,0.6574,2.18765,0.96079,0.83495,0.92499,0.69939,1.9024,1.06359,2.65902,0.000515,0.000515,0.000515
77,1141.75,0.94431,0.64879,2.19157,0.95843,0.83495,0.92381,0.70942,1.85517,1.0796,2.62764,0.0004952,0.0004952,0.0004952
78,1156.95,0.97748,0.65614,2.20985,0.94448,0.85922,0.92244,0.70334,1.84945,1.09812,2.61726,0.0004754,0.0004754,0.0004754
79,1171.25,0.91624,0.65487,2.18357,0.95176,0.86206,0.92485,0.66463,2.05181,1.08723,2.70548,0.0004556,0.0004556,0.0004556
80,1185.91,0.93417,0.64549,2.17563,0.93662,0.86089,0.92254,0.64393,2.03501,1.11026,2.6467,0.0004358,0.0004358,0.0004358
81,1200.26,0.91558,0.62308,2.20044,0.9221,0.85922,0.92357,0.70168,1.84212,1.07909,2.53096,0.000416,0.000416,0.000416
